paridigitata "Same as Artiodactyla."
grouse "To seek or shoot grouse."
cottonade "A somewhat stout and thick fabric of cotton."
prefrontal "A prefrontal bone or scale."
nebulosity "The state or quality of being nebulous; cloudiness; hazeness; mistiness; nebulousness."
furacity "Addictedness to theft; thievishness."
interveniency "Intervention; interposition."
mussulman "A Mohammedan; a Moslem."
misproportion "To give wrong proportions to; to join without due proportion."
objection "Cause of trouble; sorrow."
precordial "Situated in front of the heart; of or pertaining to the praecordia."
woodwork "Work made of wood; that part of any structure which is wrought of wood."
clerkly "Of or pertaining to a clerk."
indicate "To point out; to discover; to direct to a knowledge of; to show; to make known."
whigling "A petty or inferior Whig; -- used in contempt."
couscousou "A favorite dish in Barbary. See Couscous."
momenta "of Momentum"
energic "Alt. of Energical"
parabolism "The division of the terms of an equation by a known quantity that is involved in the first term."
noious "Annoying; troublesome."
explained "of Explain"
heathenizing "of Heathenize"
horse-jockey "A professional rider and trainer of race horses."
martyrologe "A martyrology."
unconformable "Not conformable; not agreeable; not conforming."
parakeet "Same as Parrakeet."
globe "The earth; the terraqueous ball; -- usually preceded by the definite article."
ravaging "of Ravage"
ormer "An abalone."
yest "See Yeast."
one "Closely bound together; undivided; united; constituting a whole."
pacable "Placable."
praemorse "Same as Premorse."
rehearser "One who rehearses."
betimes "In good season or time; before it is late; seasonably; early."
hearsal "Rehearsal."
tooter "One who toots; one who plays upon a pipe or horn."
donna "A lady; madam; mistress; -- the title given a lady in Italy."
hackling "of Hackle"
pellack "A porpoise."
inclement "Not clement; destitute of a mild and kind temper; void of tenderness; unmerciful; severe; harsh."
backwards "By way of reflection; reflexively."
unrazored "Not shaven."
unlabored "Not produced by labor or toil."
unloosen "To loosen; to unloose."
urostege "One of the plates on the under side of the tail of a serpent."
central "Relating to the center; situated in or near the center or middle; containing the center; of or pertaining to the parts near the center; equidistant or equally accessible from certain points."
sol-faed "of Sol-fa"
pleonastical "Of or pertaining to pleonasm; of the nature of pleonasm; redundant."
brightened "of Brighten"
inadequacy "The quality or state of being inadequate or insufficient; defectiveness; insufficiency; inadequateness."
spinstress "A woman who spins."
carunculated "Having a caruncle or caruncles; caruncular."
traducent "Slanderous."
protectrix "A woman who protects."
colosseum "The amphitheater of Vespasian in Rome."
accoutering "of Accoutre"
abluvion "That which is washed off."
sackful "As much as a sack will hold."
antenniform "Shaped like antennae."
pavonian "Of or pertaining to a peacock."
accompliceship "The state of being an accomplice."
apperceive "To perceive; to comprehend."
inseverable "Incapable of being severed; indivisible; inseparable."
dotehead "A dotard."
shapable "That may be shaped."
sticker "That which causes one to stick; that which puzzles or poses."
wroot "imp. of Write. Wrote."
loud-mouthed "Having a loud voice; talking or sounding noisily; noisily impudent."
bodyguard "A guard to protect or defend the person; a lifeguard."
gangrel "Wandering; vagrant."
deontology "The science relat/ to duty or moral obligation."
wallowish "Flat; insipid."
promorphologist "One versed in the science of promorphology."
loved "of Love"
perjurious "Alt. of Perjurous"
cloakedly "In a concealed manner."
bloted "of Blote"
hydrothecas "of Hydrotheca"
herding "of Herd"
debatefully "With contention."
antedated "of Antedate"
sympathizer "One who sympathizes."
polygoneutic "Having two or more broods in a season."
muscadine "A fragrant and delicious pear."
curiosity "The state or quality or being curious; nicety; accuracy; exactness; elaboration."
unrightwise "Unrighteous."
engagedly "With attachment; with interest; earnestly."
bluestocking "A literary lady; a female pedant."
eloin "See Eloign."
omnify "To render universal; to enlarge."
thirsted "of Thirst"
framable "Capable of being framed."
candelabra "of Candelabrum"
incontrovertibility "The state or condition of being incontrovertible."
assonant "Having a resemblance of sounds."
incondensable "Alt. of Incondensible"
routhe "Ruth; sorrow."
prima "donnas of Prima donna"
agynous "Without female organs; male."
friend "A paramour of either sex."
subcylindrical "Alt. of Subcylindric"
rentered "of Renter"
philosophies "of Philosophy"
vesicatory "A blistering application or plaster; a vesicant; an epispastic."
portmen "of Portman"
hypercritically "In a hypercritical manner."
callisection "Painless vivisection; -- opposed to sentisection."
candescence "See Incandescence."
mashed "of Mash"
coolie "Same as Cooly."
precentorship "The office of a precentor."
encrust "To incrust. See Incrust."
biblicality "The quality of being biblical; a biblical subject."
phonological "Of or pertaining to phonology."
blackband "An earthy carbonate of iron containing considerable carbonaceous matter; -- valuable as an iron ore."
hepatocele "Hernia of the liver."
trilith "Same as Trilithon."
protestantly "Like a Protestant; in conformity with Protestantism."
externally "In an external manner; outwardly; on the outside; in appearance; visibly."
tenement "That which is held of another by service; property which one holds of a lord or proprietor in consideration of some military or pecuniary service; fief; fee."
impermeability "The quality of being impermeable."
prescriptibility "The quality or state of being prescriptible."
limoges "A city of Southern France."
ferrocyanide "One of a series of complex double cyanides of ferrous iron and some other base."
period "A complete musical sentence."
forslow "To delay; to hinder; to neglect; to put off."
exorcist "One who expels evil spirits by conjuration or exorcism."
smash "To break in pieces by violence; to dash to pieces; to crush."
researcher "One who researches."
ironmongery "Hardware; a general name for all articles made of iron."
abricock "See Apricot."
embroidered "of Embroider"
chiefless "Without a chief or leader."
paucity "Fewness; smallness of number; scarcity."
ant-hill "A mound thrown up by ants or by termites in forming their nests."
domiciliated "of Domiciliate"
detrite "Worn out."
annoyed "of Annoy"
throttled "of Throttle"
enlisted "of Enlist"
croise "A pilgrim bearing or wearing a cross."
eponymic "Same as Eponymous."
aerodynamic "Pertaining to the force of air in motion."
etyma "of Etymon"
edgingly "Gradually; gingerly."
discouraged "of Discourage"
uniterable "Not iterable; incapable of being repeated."
pharmacopoeia "A chemical laboratory."
befooled "of Befool"
crouse "Brisk; lively; bold; self-complacent."
misinterpreter "One who interprets erroneously."
maggotish "Full of whims or fancies; maggoty."
claps "Variant of Clasp"
maryolatry "Mariolatry."
humstrum "An instrument out of tune or rudely constructed; music badly played."
hungerly "Wanting food; starved."
effeminate "Womanlike; womanly; tender; -- in a good sense."
expired "of Expire"
victualage "Victuals; food."
thole "To bear; to endure; to undergo."
cheerily "In a cheery manner."
ingression "Act of entering; entrance."
caragheen "See Carrageen."
algebraist "One versed in algebra."
overseen "of Oversee"
insatiety "Insatiableness."
republisher "One who republishes."
octostyle "An octostyle portico or temple."
janitress "Alt. of Janitrix"
inconcealable "Not concealable."
nol. "pros. An abbrev. of Nolle prosequi."
levier "One who levies."
quipping "of Quip"
foolfish "The orange filefish. See Filefish."
lanciferous "Bearing a lance."
weder "Weather."
porcelainized "Baked like potter's lay; -- applied to clay shales that have been converted by heat into a substance resembling porcelain."
expectorative "Same as Expectorant."
heartrending "Causing intense grief; overpowering with anguish; very distressing."
groped "of Grope"
prophet "An interpreter; a spokesman."
granting "of Grant"
factorize "To attach in the hands of a third person ; to garnish. See Garnish."
dissolution "Change from a solid to a fluid state; solution by heat or moisture; liquefaction; melting."
piation "The act of making atonement; expiation."
sulphureity "The quality or state of being sulphureous."
bordering "of Border"
wherewithal "Wherewith."
imputed "of Impute"
spellken "A theater."
bump "To come in violent contact with something; to thump."
reviewal "A review."
plighting "of Plight"
praiseworthily "In a praiseworthy manner."
advanced "of Advance"
adoptionist "One of a sect which maintained that Christ was the Son of God not by nature but by adoption."
mutacism "See Mytacism."
vicu?aVicu?a "Alt. of Vicugna"
ducking "of Duck"
lightable "Such as can be lighted."
anthozoan "Pertaining to the Anthozoa."
barrow "A large mound of earth or stones over the remains of the dead; a tumulus."
cantion "A song or verses."
roulette "A small toothed wheel used by engravers to roll over a plate in order to order to produce rows of dots."
unexpedient "Inexpedient."
beneficent "Doing or producing good; performing acts of kindness and charity; characterized by beneficence."
fake "To cheat; to swindle; to steal; to rob."
scatter-brained "Giddy; thoughtless."
supplication "A humble petition; an earnest request; an entreaty."
unbusied "Not required to work; unemployed; not busy."
track-road "A towing path."
rapacity "The act or practice of extorting or exacting by oppressive injustice; exorbitant greediness of gain."
hence "From this place; away."
creatural "Belonging to a creature; having the qualities of a creature."
splanchnography "Splanchnology."
simplity "Simplicity."
participial "A participial word."
tuberous "Covered with knobby or wartlike prominences; knobbed."
clivity "Inclination; ascent or descent; a gradient."
dedicatorial "Dedicatory."
poetizing "of Poetize"
amaryllis "A pastoral sweetheart."
deme "An undifferentiated aggregate of cells or plastids."
prizemen "of Prizeman"
aaronic "Alt. of Aaronical"
rebound "To give back an echo."
douce "Sweet; pleasant."
cembalo "An old name for the harpsichord."
baleful "Full of deadly or pernicious influence; destructive."
talpa "A genus of small insectivores including the common European mole."
casino "A small country house."
codex "A book; a manuscript."
nominating "of Nominate"
expunging "of Expunge"
cultrate "Alt. of Cultrated"
farrand "Manner; custom; fashion; humor."
scotoma "Scotomy."
calcitrant "Kicking. Hence: Stubborn; refractory."
leuke "Alt. of Leukeness"
overpeople "To people too densely."
transe "See Trance."
fanaticizing "of Fanaticize"
exogyra "A genus of Cretaceous fossil shells allied to oysters."
phthalate "A salt of phthalic acid."
begetter "One who begets; a father."
projecture "A jutting out beyond a surface."
requirer "One who requires."
rhodian "A native or inhabitant of Rhodes."
squeakingly "In a squeaking manner."
introvert "To turn or bend inward."
insistently "In an insistent manner."
exploit "Combat; war."
crystal "The glass over the dial of a watch case."
simagre "A grimace."
lawmonger "A trader in law; one who practices law as if it were a trade."
consecratory "Of or pertaining to the act of consecration; dedicatory."
prepotent "Characterized by prepotency."
love-sickness "The state of being love-sick."
abider "One who dwells; a resident."
exanimate "Lifeless; dead."
dairying "The business of conducting a dairy."
flicked "of Flick"
oversway "To bear sway over."
jargoning "of Jargon"
implement "To accomplish; to fulfill."
pilloried "of Pillory"
unhandsome "Not handsome; not beautiful; ungraceful; not comely or pleasing; plain; homely."
terse "Appearing as if rubbed or wiped off; rubbed; smooth; polished."
evangelian "Rendering thanks for favors."
ransacked "of Ransack"
syncopist "One who syncopates."
malacolite "A variety of pyroxene."
guana "See Iguana."
headdress "A covering or ornament for the head; a headtire."
arhythmic "Alt. of Arhythmous"
hurrying "of Hurry"
seawant "The name used by the Algonquin Indians for the shell beads which passed among the Indians as money."
menostation "Same as Menostasis."
prinpriddle "The long-tailed titmouse."
reticence "A figure by which a person really speaks of a thing while he makes a show as if he would say nothingon the subject."
subcultrate "Alt. of Subcultrated"
intertraffic "Mutual trade of traffic."
nebulizer "An atomizer."
clayed "of Clay"
redness "The quality or state of being red; red color."
regarder "One who regards."
succeeding "of Succeed"
tunned "of Tun"
sarcosepta "of Sarcoseptum"
euphorbiaceous "Alt. of Euphorbial"
cabaret "A tavern; a house where liquors are retailed."
particularization "The act of particularizing."
counterpassant "Passant in opposite directions; -- said of two animals."
loathingly "With loathing."
scarifier "One who scarifies."
forbiddenly "In a forbidden or unlawful manner."
haunted "of Haunt"
bituminiferous "Producing bitumen."
imbraid "See Embraid."
prompt-book "The book used by a prompter of a theater."
misshape "To shape ill; to give an ill or unnatural from to; to deform."
male- "See Mal-."
self-satisfaction "The quality or state of being self-satisfied."
cognati "Relatives by the mother's side."
companionless "Without a companion."
recurvity "Recurvation."
conservable "Capable of being preserved from decay or injury."
deadborn "Stillborn."
skilty "The water rail."
hydrotical "Hydrotic."
pistel "Alt. of Pistil"
potentiate "To render active or potent."
traducian "A believer in traducianism."
probate "Proof."
east-insular "Relating to the Eastern Islands; East Indian."
straddled "of Straddle"
balanite "A fossil balanoid shell."
repellency "The principle of repulsion; the quality or capacity of repelling; repulsion."
stalactites "of Stalactite"
boneless "Without bones."
excruciated "of Excruciate"
cramming "of Cram"
propagate "To multiply; to increase."
handcloth "A handkerchief."
pisciculture "Fish culture. See under Fish."
metathetical "Of or pertaining to metathesis."
intellectualize "To treat in an intellectual manner; to discuss intellectually; to reduce to intellectual form; to express intellectually; to idealize."
paritory "Pellitory."
geez "The original native name for the ancient Ethiopic language or people. See Ethiopic."
biforous "See Biforate."
uronology "That part of medicine which treats of urine."
snappy "Snappish."
inarching "of Inarch"
hied "of Hie"
yift "Gift."
unparched "Dried up; withered by heat."
synartesis "A fastening or knitting together; the state of being closely jointed; close union."
entastic "Relating to any disease characterized by tonic spasms."
fullmart "See Foumart."
forkbeard "The European forked hake or hake's-dame ; -- also called great forked beard."
suspectless "Not suspecting; having no suspicion."
lobulate "Alt. of Lobulated"
mesocoelia "The cavity of the mesencephalon; the iter."
buffoonism "The practices of a buffoon; buffoonery."
precellence "Alt. of Precellency"
horseback "The back of a horse."
mispay "To dissatisfy."
ghaut "A pass through a mountain."
lienculus "One of the small nodules sometimes found in the neighborhood of the spleen; an accessory or supplementary spleen."
flushed "of Flush"
classicism "A classic idiom or expression; a classicalism."
inconvertibleness "Inconvertibility."
morbidness "The quality or state of being morbid; morbidity."
disprepare "To render unprepared."
employing "of Employ"
sleepily "In a sleepy manner; drowsily."
financially "In a dfinancial manner."
mustac "A small tufted monkey."
divet "See Divot."
goutiness "The state of being gouty; gout."
weir "Alt. of Wear"
ombrometer "An instrument for measuring the rain that falls; a rain gauge."
instep "The arched middle portion of the human foot next in front of the ankle joint."
ayegreen "The houseleek ."
abannation "Alt. of Abannition"
cholericly "In a choleric manner; angrily."
mercenarily "In a mercenary manner."
broken-bellied "Having a ruptured belly."
finific "A limiting element or quality."
olifant "An elephant."
drillstock "A contrivance for holding and turning a drill."
progenitress "A female progenitor."
hulch "A hunch."
uplean "To lean or incline upon anything."
interjoined "of Interjoin"
nameless "Undistinguished; not noted or famous."
removing "of Remove"
transcendency "The quality or state of being transcendent; superior excellence; supereminence."
newfangle "Eager for novelties; desirous of changing."
associating "of Associate"
prochronize "To antedate."
jumblingly "In a confused manner."
temerarious "Unreasonably adventurous; despising danger; rash; headstrong; audacious; reckless; heedless."
corollary "Something which follows from the demonstration of a proposition; an additional inference or deduction from a demonstrated proposition; a consequence."
congratulate "To address with expressions of sympathetic pleasure on account of some happy event affecting the person addressed; to wish joy to."
preambulary "Of or pertaining to a preamble; introductory; contained or provided for in a preamble."
ravish "To seize and carry away by violence; to snatch by force."
slip-on "A kind of overcoat worn upon the shoulders in the manner of a cloak."
retell "To tell again."
particulate "To particularize."
oestrus "A genus of gadflies. The species which deposits its larvae in the nasal cavities of sheep is oestrus ovis."
baptistry "A part of a church containing a font and used for baptismal services."
convertible "Capable of being converted; susceptible of change; transmutable; transformable."
amphibial "Amphibian."
rotating "of Rotate"
loricae "of Lorica"
smatter "To talk superficially or ignorantly; to babble; to chatter."
soaping "of Soap"
panslavist "One who favors Panslavism."
gorgonian "One of the Gorgoniacea."
polymyodae "Same as Oscines."
recussion "The act of beating or striking back."
peritracheal "Surrounding the tracheae."
monogenic "Of or pertaining to monogenesis."
soliloquize "To utter a soliloquy; to talk to one's self."
condone "To pardon; to forgive."
hooper "One who hoops casks or tubs; a cooper."
jingling "of Jingle"
consubstantiality "Participation of the same nature; coexistence in the same substance."
magdeburg "A city of Saxony."
gelable "Capable of being congealed; capable of being converted into jelly."
divorced "of Divorce"
truck "A freight car."
chilostoma "Alt. of Chilostomata"
fistularioid "Like or pertaining to the genus Fistularia."
incivility "The quality or state of being uncivil; want of courtesy; rudeness of manner; impoliteness."
independence "Sufficient means for a comfortable livelihood."
pertransient "Passing through or over."
deceiver "One who deceives; one who leads into error; a cheat; an impostor."
inhaul "Alt. of Inhauler"
spittle "See Spital."
allotted "of Allot"
liqueur "An aromatic alcoholic cordial."
unman "To emasculate; to deprive of virility."
forgetfulness "The quality of being forgetful; prononess to let slip from the mind."
cinch "A tight grip."
wariness "The quality or state of being wary; care to foresee and guard against evil; cautiousness."
radulae "of Radula"
mobocrat "One who favors a form of government in which the unintelligent populace rules without restraint."
budging "of Budge"
laccolite "Alt. of Laccolith"
booking "of Book"
rinsed "of Rinse"
fakir "An Oriental religious ascetic or begging monk."
maule "The common mallow."
cooee "A peculiar whistling sound made by the Australian aborigenes as a call or signal."
barbigerous "Having a beard; bearded; hairy."
assimilating "of Assimilate"
sententially "In a sentential manner."
gloss "A specious appearance; superficial quality or show."
abridging "of Abridge"
patchouly "The perfume made from this plant."
alleviating "of Alleviate"
