a "In; on; at; by."
mentor "A wise and faithful counselor or monitor."
mentorial "Containing advice or admonition."
mentum "The front median plate of the labium in insects. See Labium."
menu "The details of a banquet; a bill of fare."
menuse "See Amenuse."
meow "See 6th and 7th Mew."
mephitic "Alt. of Mephitical"
mercable "Capable of being bought or sold."
mercaptal "Any one of a series of compounds of mercaptans with aldehydes."
mercat "Market; trade."
mercatante "A foreign trader."
mercature "Commerce; traffic; trade."
merce "To subject to fine or amercement; to mulct; to amerce."
mercenaria "The quahog."
mercenarian "A mercenary."
mercenarily "In a mercenary manner."
mercenariness "The quality or state of being mercenary; venality."
mercenary "Hence: Moved by considerations of pay or profit; greedy of gain; sordid; selfish."
mercenaries "of Mercenary"
mercership "The business of a mercer."
mercery "The trade of mercers; the goods in which a mercer deals."
merchand "To traffic."
merchandisable "Such as can be used or transferred as merchandise."
merchandise "The act or business of trading; trade; traffic."
merchandised "of Merchandise"
merchandising "of Merchandise"
merchandiser "A trader."
merchandry "Trade; commerce."
merchant "A trading vessel; a merchantman."
merchantly "Merchantlike; suitable to the character or business of a merchant."
merchantmen "of Merchantman"
merchantman "A merchant."
merchantry "The business of a merchant; merchandise."
merciable "Merciful."
merciful "Full of mercy; having or exercising mercy; disposed to pity and spare offenders; unwilling to punish."
mercify "To pity."
mercurammonium "A radical regarded as derived from ammonium by the substitution of mercury for a portion of the hydrogen."
mercurial "Having the form or image of Mercury; -- applied to ancient guideposts."
mercurialist "One under the influence of Mercury; one resembling Mercury in character."
mercurialized "of Mercurialize"
mercurializing "of Mercurialize"
mercurialize "To affect with mercury."
mercurially "In a mercurial manner."
mercurified "of Mercurify"
mercurifying "of Mercurify"
mercurify "To combine or mingle mercury with; to impregnate with mercury; to mercurialize."
mercurism "A communication of news; an announcement."
mercury "Sprightly or mercurial quality; spirit; mutability; fickleness."
mercies "of Mercy"
mercy "Disposition to exercise compassion or favor; pity; compassion; willingness to spare or to help."
merd "Ordure; dung."
mere "A pool or lake."
merely "Purely; unmixedly; absolutely."
merenchyma "Tissue composed of spheroidal cells."
meresman "An officer who ascertains meres or boundaries."
merestead "The land within the boundaries of a farm; a farmstead or farm."
merestone "A stone designating a limit or boundary; a landmark."
merged "of Merge"
merging "of Merge"
merge "To cause to be swallowed up; to immerse; to sink; to absorb."
mericarp "One carpel of an umbelliferous fruit. See Cremocarp."
meridian "Midday; noon."
meridional "Of or pertaining to the meridian."
meridionality "The state of being in the meridian."
meridionally "In the direction of the meridian."
merino "Made of the wool of the merino sheep."
merinos "of Merino"
merit "The quality or state of deserving well or ill; desert."
merited "of Merit"
meriting "of Merit"
meritable "Deserving of reward."
meritedly "By merit; deservedly."
merithal "Alt. of Merithallus"
merithallus "Same as Internode."
meritmonger "One who depends on merit for salvation."
meritorious "Possessing merit; deserving of reward or honor; worthy of recompense; valuable."
meritory "Meritorious."
merk "An old Scotch silver coin; a mark or marc."
merke "Murky."
merl "Alt. of Merle"
merle "The European blackbird. See Blackbird."
merling "The European whiting."
merlon "One of the solid parts of a battlemented parapet; a battlement. See Illust. of Battlement."
merluce "The European hake; -- called also herring hake and sea pike."
mermen "of Merman"
merocele "Hernia in the thigh; femoral hernia ."
meropodite "The fourth joint of a typical appendage of Crustacea."
merorganization "Organization in part."
meros "The plain surface between the channels of a triglyph."
merovingian "Of or pertaining to the first Frankish dynasty in Gaul or France."
merry "Laughingly gay; overflowing with good humor and good spirits; jovial; inclined to laughter or play ; sportive."
merrymake "Mirth; frolic; a meeting for mirth; a festival."
merrymaker "One who makes merriment or indulges in conviviality; a jovial comrade."
merrymaking "Making or producing mirth; convivial; jolly."
merrymeeting "A meeting for mirth."
merrythought "The forked bone of a fowl's breast; -- called also wishbone. See Furculum."
mersion "Immersion."
merulidan "A bird of the Thrush family."
merus "See Meros."
mervaille "Marvel."
mes- "See Meso-."
mesa "A high tableland; a plateau on a hill."
mesaconate "A salt of mesaconic acid."
mesad "Same as Mesiad."
mesal "Same as Mesial."
mesalliance "A marriage with a person of inferior social position; a misalliance."
mesally "Same as Mesially."
mesaraic "Mesenteric."
mesaticephalic "Having the ratio of the length to the breadth of the cranium a medium one; neither brachycephalic nor dolichocephalic."
mesaticephalous "Mesaticephalic."
mescal "A distilled liquor prepared in Mexico from a species of agave. See Agave."
meseemed "of Meseems"
meseems "It seems to me."
mesel "A leper."
meselry "Leprosy."
mesencephalic "Of or pertaining to the mesencephalon or midbrain."
mesencephalon "The middle segment of the brain; the midbrain. Sometimes abbreviated to mesen. See Brain."
mesenchyma "The part of the mesoblast which gives rise to the connective tissues and blood."
mesenteric "Pertaining to a mesentery; mesaraic."
mesentery "One of the vertical muscular radiating partitions which divide the body cavity of Anthozoa into chambers."
meseraic "Mesaraic."
mesethmoid "Of or pertaining to the middle of the ethmoid region or ethmoid bone."
meshed "of Mesh"
meshing "of Mesh"
mesh "To catch in a mesh."
meshy "Formed with meshes; netted."
mesityl "A hypothetical radical formerly supposed to exist in mesityl oxide."
mesitylenate "A salt of mesitylenic acid."
mesitylol "A crystalline substance obtained from mesitylene."
meslin "See Maslin."
mesmeree "A person subjected to mesmeric influence; one who is mesmerized."
mesmeric "Alt. of Mesmerical"
mesmerization "The act of mesmerizing; the state of being mesmerized."
mesmerized "of Mesmerize"
mesmerizing "of Mesmerize"
mesmerize "To bring into a state of mesmeric sleep."
mesmerizer "One who mesmerizes."
meso- "Alt. of Mes-"
mesoarium "The fold of peritoneum which suspends the ovary from the dorsal wall of the body cavity."
mesoblast "The mesoderm."
mesobranchial "Of or pertaining to a region of the carapace of a crab covering the middle branchial region."
mesobronchia "of Mesobronchium"
mesobronchium "The main bronchus of each lung."
mesocaecum "The fold of peritoneum attached to the caecum."
mesocarp "The middle layer of a pericarp which consists of three distinct or dissimilar layers."
mesocephalic "Having the cranial cavity of medium capacity; neither megacephalic nor microcephalic."
mesocephalon "The pons Varolii."
mesocephalous "Mesocephalic."
mesocoele "Alt. of Mesocoelia"
mesocoelia "The cavity of the mesencephalon; the iter."
mesocoracoid "A process from the middle of the coracoid in some animals."
mesocuneiform "Alt. of Mesocuniform"
mesocuniform "One of the bones of the tarsus. See 2d Cuneiform."
mesoderm "The middle body layer in some invertebrates."
mesodermic "Same as Mesodermal."
mesodont "Having teeth of moderate size."
mesogaster "The fold of peritoneum connecting the stomach with the dorsal wall of the abdominal cavity; the mesogastrium."
mesogastric "Of or pertaining to the mesogaster."
mesogastrium "The umbilical region."
mesogl/a "A thin gelatinous tissue separating the ectoderm and endoderm in certain coelenterates."
mesohepar "A fold of the peritoneum connecting the liver with the dorsal wall of the abdominal cavity."
mesole "Same as Thomsonite."
mesologarithm "A logarithm of the cosine or cotangent."
mesometrium "The fold of the peritoneum supporting the oviduct."
mesomyodian "A bird having a mesomyodous larynx."
mesomyodous "Having the intrinsic muscles of the larynx attached to the middle of the semirings."
mesonasal "Of or pertaining to the middle portion of the nasal region."
mesonephros "The middle one of the three pairs of embryonic renal organs developed in most vertebrates; the Wolffian body."
mesonotum "The dorsal portion of the mesothorax of insects."
mesophryon "See Glabella."
mesophyllum "The parenchyma of a leaf between the skin of the two surfaces."
mesoplast "The nucleus of a cell; mesoblast."
mesopodial "Of or pertaining to the mesopodialia or to the parts of the limbs to which they belong."
mesopodialia "of Mesopodiale"
mesopodiale "One of the bones of either the carpus or tarsus."
mesopodium "The middle portion of the foot in the Gastropoda and Pteropoda."
mesopterygium "The middle one of the three principal basal cartilages in the fins of fishes."
mesorchium "The fold of peritoneum which attaches the testis to the dorsal wall of the body cavity or scrotal sac."
mesorhine "Having the nose of medium width; between leptorhine and platyrhine."
mesosauria "Same as Mosasauria."
mesoscapula "A process from the middle of the scapula in some animals; the spine of the scapula."
mesoscapular "Of or pertaining to the mesoscapula."
mesoscutum "The scutum or dorsal plate of the middle thoracic segment of an insect. See Illust. of Butterfly."
mesoseme "Having a medium orbital index; having orbits neither broad nor narrow; between megaseme and microseme."
mesosiderite "See the Note under Meteorite."
mesosperm "A membrane of a seed. See Secundine."
mesostate "A product of metabolic action."
mesosternal "Of or pertaining to the mesosternum."
mesosternum "The ventral piece of the middle segment of the thorax in insects."
mesotheca "The middle layer of the gonophore in the Hydrozoa."
mesothoracic "Of or pertaining to the mesothorax."
mesothorax "The middle segment of the thorax in insects. See Illust. of Coleoptera."
mesotrochal "Having the middle of the body surrounded by bands of cilia; -- said of the larvae of certain marine annelids."
mesovarium "The fold of peritoneum connecting the ovary with the wall of the abdominal cavity."
mesoxalate "A salt of mesoxalic acid."
mesozoic "The Mesozoic age or formation."
mesprise "Contempt; scorn."
mesquite "Alt. of Mesquit"
mess "Mass; church service."
messed "of Mess"
messing "of Mess"
message "To bear as a message."
messager "A messenger."
messet "A dog."
messiah "The expected king and deliverer of the Hebrews; the Savior; Christ."
messiahship "The state or office of the Messiah."
messias "The Messiah."
messmate "An associate in a mess."
mest "Most."
mestee "The offspring of a white person and a quadroon; -- so called in the West Indies."
mestinos "of Mestino"
mestino "See Mestizo."
mestizos "of Mestizo"
mestizo "The offspring of an Indian or a negro and a European or person of European stock."
mestling "A kind of brass. See Maslin."
mesymnicum "A repetition at the end of a stanza."
meta- "Alt. of Met-"
metabases "of Metabasis"
metabasis "A transition from one subject to another."
metabola "Alt. of Metabole"
metabolian "An insect which undergoes a metamorphosis."
metabolisis "Metabolism."
metabolize "To change by a metabolic process. See Metabolism."
metabranchial "Of or pertaining to the lobe of the carapace of crabs covering the posterior branchiae."
metacarpal "Of or pertaining to the metacarpus."
metacarpus "That part of the skeleton of the hand or forefoot between the carpus and phalanges. In man it consists of five bones. See Illust. of Artiodactyla."
metacenter "Alt. of -tre"
metachronism "An error committed in chronology by placing an event after its real time."
metacinnabarite "Sulphide of mercury in isometric form and black in color."
metacrolein "A polymeric modification of acrolein obtained by heating it with caustic potash. It is a crystalline substance having an aromatic odor."
metacromion "A process projecting backward and downward from the acromion of the scapula of some mammals."
metagastric "Of or pertaining to the two posterior gastric lobes of the carapace of crabs."
metagenesis "Alternation of sexual and asexual or gemmiparous generations; -- in distinction from heterogamy."
metagenetic "Of or pertaining to metagenesis."
metagenic "Metagenetic."
metagrammatism "Anagrammatism."
metagraphic "By or pertaining to metagraphy."
metagraphy "The art or act of rendering the letters of the alphabet of one language into the possible equivalents of another; transliteration."
metal "Ore from which a metal is derived; -- so called by miners."
metaled "of Metal"
metalled "of Metal"
metaling "of Metal"
metalling "of Metal"
metalammonium "A hypothetical radical derived from ammonium by the substitution of metallic atoms in place of hydrogen."
metalbumin "A form of albumin found in ascitic and certain serous fluids. It is sometimes regarded as a mixture of albumin and mucin."
metalepses "of Metalepsis"
metalepsy "Exchange; replacement; substitution; metathesis."
metaleptic "Of or pertaining to a metalepsis."
metaleptical "Metaleptic."
metallical "See Metallic."
metallicly "In a metallic manner; by metallic means."
metallifacture "The production and working or manufacture of metals."
metalliferous "Producing metals; yielding metals."
metalliform "Having the form or structure of a metal."
metallization "The act or process of metallizing."
metallized "of Metallize"
metallizing "of Metallize"
metallize "To impart metallic properties to; to impregnate with a metal."
metallochromy "The art or process of coloring metals."
metallograph "A print made by metallography."
metallographist "One who writes on the subject of metals."
metallography "A method of transferring impressions of the grain of wood to metallic surfaces by chemical action."
metalloid "Having the appearance of a metal."
metalloidal "Metalloid."
metallorganic "Metalorganic."
metallotherapy "Treatment of disease by applying metallic plates to the surface of the body."
metallurgic "Alt. of Metallurgical"
metallurgical "Of or pertaining to metallurgy."
metalmen "of Metalman"
metalman "A worker in metals."
metalogical "Beyond the scope or province of logic."
metamerically "In a metameric manner."
metamerism "The symmetry of a metameric structure; serial symmetry; the state of being made up of metameres."
metamorphic "Subject to change; changeable; variable."
metamorphist "One who believes that the body of Christ was merged into the Deity when he ascended."
metamorphize "To metamorphose."
metamorphosed "of Metamorphose"
metamorphosing "of Metamorphose"
metamorphose "To change into a different form; to transform; to transmute."
metamorphoser "One who metamorphoses."
metamorphosic "Changing the form; transforming."
metamorphoses "of Metamorphosis"
metamorphosis "The change of material of one kind into another through the agency of the living organism; metabolism."
metanephritic "Of or pertaining to the metanephros."
metanephros "The most posterior of the three pairs of embryonic renal organs developed in many vertebrates."
metanotum "The dorsal portion of the metaphorax of insects."
metantimonate "A salt of metantimonic acid."
metapeptone "An intermediate product formed in the gastric digestion of albuminous matter."
metaphoric "Alt. of Metaphorical"
metaphorist "One who makes metaphors."
metaphosphate "A salt of metaphosphoric acid."
metaphrase "An answering phrase; repartee."
metaphrased "Translated literally."
metaphrasis "Metaphrase."
metaphrast "A literal translator."
metaphrastic "Alt. of Metaphrastical"
metaphysic "See Metaphysics."
metaphysical "Of or pertaining to metaphysics."
metaphysician "One who is versed in metaphysics."
metaphysics "Hence: The scientific knowledge of mental phenomena; mental philosophy; psychology."
metaphysis "Change of form; transformation."
metaplasm "A change in the letters or syllables of a word."
metaplast "A word having more than one form of the root."
metapode "The posterior division of the foot in the Gastropoda and Pteropoda."
metapodialia "of Metapodiale"
metapodiale "One of the bones of either the metacarpus or metatarsus."
metapodia "of Metapodium"
metapodium "Same as Metapode."
metapophyses "of Metapophysis"
metapophysis "A tubercle projecting from the anterior articular processes of some vertebr/; a mammillary process."
metapterygium "The posterior of the three principal basal cartilages in the fins of fishes."
metasilicate "A salt of metasilicic acid."
metasilicic "Designating an acid derived from silicic acid by the removal of water; of or pertaining to such an acid."
metasome "One of the component segments of the body of an animal."
metastannate "A salt of metastannic acid."
metastases "of Metastasis"
metasternal "Of or pertaining to the metasternum."
metasternum "The most posterior element of the sternum; the ensiform process; xiphisternum."
metastoma "Alt. of Metastome"
metastome "A median elevation behind the mouth in the arthropods."
metatarsal "Of or pertaining to the metatarsus."
metatarse "Metatarsus."
metatarsi "of Metatarsus"
metatheses "of Metathesis"
metathetic "Alt. of Metathetical"
metathetical "Of or pertaining to metathesis."
metathoracic "Of or pertaining to the metathorax."
metathorax "The last or posterior segment of the thorax in insects. See Illust. of Coleoptera."
metatungstate "A salt of metatungstic acid."
metavanadate "A salt of metavanadic acid."
metayage "A system of farming on halves."
metazoans "of Metazoan"
metazoan "One of the Metazoa."
metazoic "Of or pertaining to the Metazoa."
metazoon "One of the Metazoa."
mete "Meat."
mette "of Mete"
meted "of Mete"
meting "of Mete"
metely "According to measure or proportion; proportionable; proportionate."
metempiric "Alt. of Metempirical"
metempiricism "The science that is concerned with metempirics."
metempsychosed "of Metempsychose"
metempsychosing "of Metempsychose"
metensomatosis "The assimilation by one body or organism of the elements of another."
meteorical "Meteoric."
meteorism "Flatulent distention of the abdomen; tympanites."
meteorite "A mass of stone or iron which has fallen to the earth from space; an aerolite."
meteorize "To ascend in vapors; to take the form of a meteor."
meteorograph "An instrument which registers meteorologic phases or conditions."
meteorographic "Of or pertaining to meteorography."
meteorography "The registration of meteorological phenomena."
meteoroidal "Of or pertaining to a meteoroid or to meteoroids."
meteorolite "A meteoric stone; an aerolite; a meteorite."
meteoroligic "Alt. of Meteorological"
meteorologist "A person skilled in meteorology."
meteoroscope "An astrolabe; a planisphere."
meteorous "Of the nature or appearance of a meteor."
meter "Alt. of Metre"
metre "A poem."
metergram "A measure of energy or work done; the power exerted in raising one gram through the distance of one meter against gravitation."
metewand "A measuring rod."
meth "See Meathe."
methaemoglobin "A stable crystalline compound obtained by the decomposition of hemoglobin. It is found in old blood stains."
metheglin "A fermented beverage made of honey and water; mead."
methene "See Methylene."
methought "of Methinks"
methinks "It seems to me; I think. See Me."
methionate "A salt of methionic acid."
methodic "Alt. of Methodical"
methodical "Proceeding with regard to method; systematic."
methodios "The art and principles of method."
methodist "One who observes method."
methodistic "Alt. of Methodistical"
methodized "of Methodize"
methodizing "of Methodize"
methodizer "One who methodizes."
methodological "Of or pertaining to methodology."
methodology "The science of method or arrangement; a treatise on method."
methylate "To impregnate or mix with methyl or methyl alcohol."
meticulous "Timid; fearful."
metif "Alt. of Metive"
metive "See Metis."
metis "Alt. of Metisse"
metisse "The offspring of a white person and an American Indian."
metoche "The space between two dentils."
metonymic "Alt. of Metonymical"
metonymical "Used by way of metonymy."
metope "The face of a crab."
metopomancy "Fortune telling by physiognomy."
metoposcopic "Alt. of Metoposcopical"
metoposcopical "Of or relating to metoposcopy."
metoposcopist "One versed in metoposcopy."
metrically "In a metrical manner."
metrician "A composer of verses."
metrification "Composition in metrical form; versification."
metrify "To make verse."
metrist "A maker of verses."
metritis "Inflammation of the womb."
metrochrome "An instrument for measuring colors."
metrograph "An instrument attached to a locomotive for recording its speed and the number and duration of its stops."
metrological "Of or pertaining to metrology."
metromania "A mania for writing verses."
metromaniac "One who has metromania."
metrometer "An instrument for measuring the size of the womb."
metronomy "Measurement of time by an instrument."
metropole "A metropolis."
metropolitan "The superior or presiding bishop of a country or province."
metropolitanate "The see of a metropolitan bishop."
metropolite "A metropolitan."
metrotome "An instrument for cutting or scarifying the uterus or the neck of the uterus."
metrotomy "The operation of cutting into the uterus; hysterotomy; the Caesarean section."
mettled "Having mettle; high-spirited; ardent; full of fire."
meve "To move."
mewed "of Mew"
mewing "of Mew"
mew "To cry as a cat."
mewled "of Mewl"
mewling "of Mewl"
mewler "One that mewls."
mews "An alley where there are stables; a narrow passage; a confined place."
mexal "Alt. of Mexical"
mexical "See Mescal."
mexican "Of or pertaining to Mexico or its people."
neyne "Same as Meine."
mezcal "Same as Mescal."
mezquita "A mosque."
mezuzoth "A piece of parchment bearing the Decalogue and attached to the doorpost; -- in use among orthodox Hebrews."
mezzanine "Same as Entresol."
mezza "voce With a medium fullness of sound."
mezzo "Mean; not extreme."
mezzo-relievo "Mezzo-rilievo."
mezzo-rilievo "Sculpture in this kind of relief. See under Alto-rilievo."
mezzo-soprano "Having a medium compass between the soprano and contralto; -- said of the voice of a female singer."
mezzotint "To engrave in mezzotint."
mezzotinter "One who engraves in mezzotint."
mezzotinto "Mezzotint."
mezzotintoed "of Mezzotinto"
mezzotintoing "of Mezzotinto"
mhorr "See Mohr."
miamis "A tribe of Indians that formerly occupied the country between the Wabash and Maumee rivers."
mias "The orang-outang."
miasm "Miasma."
miasmata "of Miasma"
miasma "Infectious particles or germs floating in the air; air made noxious by the presence of such particles or germs; noxious effluvia; malaria."
miasmal "Containing miasma; miasmatic."
miasmatic "Alt. of Miasmatical"
miasmatist "One who has made a special study of miasma."
miasmology "That department of medical science which treats of miasma."
miauled "of Miaul"
miauling "of Miaul"
miaul "To cry as a cat; to mew; to caterwaul."
mice "pl of Mouse."
micellae "of Micella"
mich "Alt. of Miche"
michery "Theft; cheating."
miching "Hiding; skulking; cowardly."
mickle "Much; great."
micmacs "A tribe of Indians inhabiting Nova Scotia and New Brunswick."
micracoustic "Same as Microustic."
micrencephalous "Having a small brain."
micro- "Alt. of Micr-"
micr- "A combining form"
microampere "One of the smaller measures of electrical currents; the millionth part of one ampere."
microbe "Alt. of Microbion"
microbic "Of or pertaining to a microbe."
microcephalic "Alt. of Microcephalous"
microcephalous "Having a small head; having the cranial cavity small; -- opposed to megacephalic."
microchronometer "A chronoscope."
micrococcal "Of or pertaining to micrococci; caused by micrococci."
micrococci "of Micrococcus"
microcosmic "Alt. of Microcosmical"
microcosmical "Of or pertaining to the microcosm."
microcosmography "Description of man as a microcosm."
microcoulomb "A measure of electrical quantity; the millionth part of one coulomb."
microdont "Having small teeth."
microfarad "The millionth part of a farad."
microform "A microscopic form of life; an animal or vegetable organism microscopic size."
micro-geological "Of or pertaining to micro-geology."
micro-geology "The part of geology relating to structure and organisms which require to be studied with a microscope."
micrograph "An instrument for executing minute writing or engraving."
micrographic "Of or pertaining to micrography."
micrography "The description of microscopic objects."
microhm "The millionth part of an ohm."
microlithic "Formed of small stones."
micrologic "Alt. of Micrological"
micrology "Attention to petty items or differences."
micrometric "Alt. of Micrometrical"
micrometrical "Belonging to micrometry; made by the micrometer."
micrometry "The art of measuring with a micrometer."
micromillimeter "The millionth part of a meter."
micron "A measure of length; the thousandth part of one millimeter; the millionth part of a meter."
micronometer "An instrument for noting minute portions of time."
micropantograph "A kind of pantograph which produces copies microscopically minute."
micropegmatite "A rock showing under the microscope the structure of a graphic granite ."
microphonous "Serving to augment the intensity of weak sounds; microcoustic."
microphotography "The art of making microphotographs."
microphthalmia "Alt. of Microphthalmy"
microphyllous "Small-leaved."
microscopial "Microscopic."
microscopic "Alt. of Microscopical"
microscopical "Able to see extremely minute objects."
microscopically "By the microscope; with minute inspection; in a microscopic manner."
microscopy "The use of the microscope; investigation with the microscope."
microseme "Having the orbital index relatively small; having the orbits broad transversely; -- opposed to megaseme."
microsporangium "A sporangium or conceptacle containing only very minute spores. Cf. Macrosporangium."
microsporic "Of or pertaining to microspores."
microsthenic "Having a typically small size; of or pertaining to the microsthenes."
microtome "An instrument for making very thin sections for microscopical examination."
microtomist "One who is skilled in or practices microtomy."
microtomy "The art of using the microtome; investigation carried on with the microtome."
microvolt "A measure of electro-motive force; the millionth part of one volt."
microweber "The millionth part of one weber."
microzoa "The Infusoria."
microzyme "A microorganism which is supposed to act like a ferment in causing or propagating certain infectious or contagious diseases; a pathogenic bacterial organism."
mid "Middle."
mida "The larva of the bean fly."
midbrain "The middle segment of the brain; the mesencephalon. See Brain."
midday "The middle part of the day; noon."
midden "A dunghill."
middest "Situated most nearly in the middle; middlemost; midmost."
midding "Same as Midden."
middle "Intermediate; intervening."
middle-age "Of or pertaining to the Middle Ages; mediaeval."
middle-aged "Being about the middle of the ordinary age of man; between 30 and 50 years old."
middle-ground "That part of a picture between the foreground and the background."
middlemen "of Middleman"
middleman "A person of intermediate rank; a commoner."
middler "One of a middle or intermediate class in some schools and seminaries."
middies "of Middy"
middy "A colloquial abbreviation of midshipman."
midfeather "A vertical water space in a fire box or combustion chamber."
midgard "The middle space or region between heaven and hell; the abode of human beings; the earth."
midget "A minute bloodsucking fly."
midheaven "The midst or middle of heaven or the sky."
midland "Surrounded by the land; mediterranean."
midmain "The middle part of the main or sea."
midmost "Middle; middlemost."
midnight "The middle of the night; twelve o'clock at night."
midrashim "of Midrash"
midrashoth "of Midrash"
mid-sea "The middle part of the sea or ocean."
midshipmen "of Midshipman"
midships "In the middle of a ship; -- properly amidships."
midst "In the midst of; amidst."
midsummer "The middle of summer."
midward "Situated in the middle."
midway "The middle of the way or distance; a middle way or course."
midweek "The middle of the week. Also used adjectively."
midwives "of Midwife"
midwife "A woman who assists other women in childbirth; a female practitioner of the obstetric art."
midwifery "The art or practice of assisting women in childbirth; obstetrics."
midwinter "The middle of winter."
midwive "To midwife."
mien "Aspect; air; manner; demeanor; carriage; bearing."
miff "A petty falling out; a tiff; a quarrel; offense."
mightful "Mighty."
mightily "In a mighty manner; with might; with great earnestness; vigorously; powerfully."
mightiness "The quality of being mighty; possession of might; power; greatness; high dignity."
mightless "Without; weak."
mighty "Possessing might; having great power or authority."
mighties "of Mighty"
migniard "Soft; dainty."
migniardise "Delicate fondling."
mignon "See 3d Minion."
migraine "Same as Megrim."
migrant "Migratory."
migrated "of Migrate"
migrating "of Migrate"
migration "The act of migrating."
mikado "The popular designation of the hereditary sovereign of Japan."
mikmaks "Same as Micmacs."
milage "Same as Mileage."
milanese "A native or inhabitant of Milan; people of Milan."
milch "Giving milk; -- now applied only to beasts."
mildewed "of Mildew"
mildewing "of Mildew"
mildew "To taint with mildew."
mildly "In a mild manner."
mileage "An allowance for traveling expenses at a certain rate per mile."
milesian "A native or inhabitant of Miletus."
milestone "A stone serving the same purpose as a milepost."
milfoil "A common composite herb with white flowers and finely dissected leaves; yarrow."
miliary "One of the small tubercles of Echini."
milice "Militia."
miliolite "The same Milliolitic."
miliolitic "Of or pertaining to the genus Miliola; containing miliolites."
militancy "The state of being militant; warfare."
militant "Engaged in warfare; fighting; combating; serving as a soldier."
militar "Military."
militarily "In a military manner."
militarism "A military state or condition; reliance on military force in administering government; a military system."
militarist "A military man."
military "The whole body of soldiers; soldiery; militia; troops; the army."
militated "of Militate"
militating "of Militate"
militate "To make war; to fight; to contend; -- usually followed by against and with."
militia "Military service; warfare."
militiamen "of Militiaman"
militiaman "One who belongs to the militia."
milked "of Milk"
milking "of Milk"
milk "To draw or to yield milk."
milken "Consisting of milk."
milker "A cow or other animal that gives milk."
milkful "Full of milk; abounding with food."
milkily "In a milky manner."
milkiness "State or quality of being milky."
milk-livered "White-livered; cowardly; timorous."
milkmaid "A woman who milks cows or is employed in the dairy."
milkmen "of Milkman"
milkman "A man who sells milk or delivers is to customers."
milkwort "A genus of plants of many species. The common European P. vulgaris was supposed to have the power of producing a flow of milk in nurses."
milky "Yielding milk."
mill "A passage underground through which ore is shot."
milled "of Mill"
milling "of Mill"
millboard "A kind of stout pasteboard."
millefiore "glass Slender rods or tubes of colored glass fused together and embedded in clear glass; -- used for paperweights and other small articles."
millenarian "One who believes that Christ will personally reign on earth a thousand years; a Chiliast."
millenarianism "Alt. of Millenarism"
millenarism "The doctrine of Millenarians."
millenary "Consisting of a thousand; millennial."
millennialism "Alt. of Millenniarism"
millennist "One who believes in the millennium."
milleporite "A fossil millepore."
miller "One who keeps or attends a flour mill or gristmill."
milliampere "The thousandth part of one ampere."
milliard "A thousand millions; -- called also billion. See Billion."
milliaries "of Milliary"
milliary "A milestone."
millifold "Thousandfold."
milligram "Alt. of Milligramme"
milliliter "Alt. of Millilitre"
millimeter "Alt. of Millimetre"
millinery "The business of work of a milliner."
millinet "A stiff cotton fabric used by milliners for lining bonnets."
million "A very great number; an indefinitely large number."
millioned "Multiplied by millions; innumerable."
millionnaire "Millionaire."
millionth "Being the last one of a million of units or objects counted in regular order from the first of a series or succession; being one of a million."
milliped "The same Milleped."
milliweber "The thousandth part of one weber."
millrea "Alt. of Millreis"
millree "Alt. of Millreis"
millreis "See Milreis."
millrind "Alt. of Millrynd"
millrynd "A figure supposed to represent the iron which holds a millstone by being set into its center."
mill-sixpence "A milled sixpence; -- the sixpence being one of the first English coins milled ."
millstone "One of two circular stones used for grinding grain or other substance."
millwork "The business of setting up or of operating mill machinery."
milt "The spleen."
milter "A male fish."
miltonian "Miltonic."
miltwaste "A small European fern formerly used in medicine."
milvine "Of or resembling birds of the kite kind."
mime "A kind of drama in which real persons and events were generally represented in a ridiculous manner."
mimeograph "An autographic stencil copying device invented by Edison."
mimesis "Imitation; mimicry."
mimetene "See Mimetite."
mimetic "Alt. of Mimetical"
mimetical "Apt to imitate; given to mimicry; imitative."
mimetism "Same as Mimicry."
mimetite "A mineral occurring in pale yellow or brownish hexagonal crystals. It is an arseniate of lead."
mimic "Alt. of Mimical"
mimical "Imitative; mimetic."
mimicked "of Mimic"
mimicking "of Mimic"
mimically "In an imitative manner."
mimicker "One who mimics; a mimic."
mimicry "The act or practice of one who mimics; ludicrous imitation for sport or ridicule."
mimographer "A writer of mimes."
minae "of Mina"
minas "of Mina"
mina "See Myna."
minacious "Threatening; menacing."
minacity "Disposition to threaten."
minatorially "Alt. of Minatorily"
minatorily "In a minatory manner; with threats."
minatory "Threatening; menacing."
minaul "Same as Manul."
minced "of Mince"
minging "of Mince"
mince "To affect; to make a parade of."
mincer "One who minces."
mincing "That minces; characterized by primness or affected nicety."
mincingly "In a mincing manner; not fully; with affected nicety."
mind "Choice; inclination; liking; intent; will."
minded "of Mind"
minding "of Mind"
mindful "Bearing in mind; regardful; attentive; heedful; observant."
mindless "Not indued with mind or intellectual powers; stupid; unthinking."
mine "See Mien."
mined "of Mine"
mining "of Mine"
mineral "A mine."
mineralist "One versed in minerals; mineralogist."
mineralization "The conversion of a cell wall into a material of a stony nature."
mineralized "of Mineralize"
mineralizing "of Mineralize"
mineralize "To transform into a mineral."
mineralogist "One versed in mineralogy; one devoted to the study of minerals."
mineralogize "To study mineralogy by collecting and examining minerals."
mineralogies "of Mineralogy"
mineralogy "A treatise or book on this science."
minette "The smallest of regular sizes of portrait photographs."
minever "Same as Miniver."
